name,image_url
Apple,https://i.pinimg.com/originals/e7/f5/a9/e7f5a91aed78fdb7c3fc2cfe0c3e4e83.jpg
Arecanut,https://i.pinimg.com/originals/77/1e/17/771e175f767bd26d63b9bd0243c620e9.jpg
Arhar/Tur,https://blog.terragreensorganic.com/wp-content/uploads/2016/09/terra.png
Ash Gourd,https://images.sadhguru.org/sites/default/files/media_files/iso/en/64022-ash-gourd-winter-melon-the-cool-vegetable-benefits-recipes.jpg
Bajra,https://i.pinimg.com/originals/2a/4c/ae/2a4caebdd968b005354918b59c48ba26.jpg
Banana,https://i.imgur.com/X7g6v2l.jpg
Barley,https://ak9.picdn.net/shutterstock/videos/6291479/thumb/1.jpg
Bean,https://www.wallpaperflare.com/static/115/79/810/peas-pods-bean-green-wallpaper.jpg
Beans & Mutter(Vegetable),https://i.ndtvimg.com/i/2017-01/peas-new-620_620x350_51485523793.jpg
Beet Root,https://fitnessmedia.azureedge.net/media/3883/beetroot-blog.jpg
Ber,https://ak6.picdn.net/shutterstock/videos/35047426/thumb/1.jpg
Bhindi,https://img2.exportersindia.com/product_images/bc-full/dir_168/5024294/fresh-lady-finger-1498562953-3090833.jpeg
Bitter Gourd,https://i.pinimg.com/originals/7c/7b/9a/7c7b9a4b28f58667fceea4183ce9f4ab.jpg
Black pepper,https://ak0.picdn.net/shutterstock/videos/26274020/thumb/1.jpg
Blackgram,https://www.farmer.live/images/product/main-qimg-ef325712f4ff5ffcd67da803b586f7c3_137.png
Bottle Gourd,https://i.pinimg.com/originals/db/ff/df/dbffdfb5c30d4c691bee84d28177234a.jpg
Brinjal,https://images5.alphacoders.com/413/thumb-1920-413293.jpg
Cabbage,https://c1.wallpaperflare.com/preview/228/105/187/white-cabbage-cabbage-cabbage-leaves-vegetables.jpg
Cardamom,https://imagesworld.org/wp-content/uploads/2018/06/Cardamom-HD-Images-1024x683.jpg
Carrot,https://blog.hdwallsource.com/wp-content/uploads/2018/01/carrot-basket-wallpaper-background-hd-62715-64698-hd-wallpapers.jpg
Cashewnut,https://www.plantbasednews.org/.image/t_share/MTY1NTk1NzkyMTY5MDUxNDIz/image-placeholder-title.jpg
Castor seed,https://www.chagrinvalleysoapandsalve.com/media/1129/castor.jpg?anchor=center&mode=crop&width=769&height=769&rnd=131558184110000000
Cauliflower,https://ak0.picdn.net/shutterstock/videos/6723340/thumb/1.jpg
Coconut ,https://images6.alphacoders.com/958/958253.jpg
Coffee,https://images.unsplash.com/photo-1497515114629-f71d768fd07c?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&w=1000&q=80
Colocasia,https://images.all-free-download.com/images/graphiclarge/spring_morning_554661.jpg
Coriander,https://ak3.picdn.net/shutterstock/videos/21892033/thumb/1.jpg
Cotton,https://images.all-free-download.com/images/graphicthumb/warm_cotton_highdefinition_picture_1_169188.jpg
Cowpea(Lobia),https://seedsnpots.com/wp-content/uploads/2018/02/lobia.jpg
Cucumber,https://www.wordwallpapers.com/wp-content/uploads/2015/11/100-Amazing-Mixed-Wallpapers-8-70.jpg
Drum Stick,https://www.imbexport.com/wp-content/uploads/2019/09/drumstick.jpg
Garlic,https://ak7.picdn.net/shutterstock/videos/19973197/thumb/1.jpg
Ginger,https://makmigrofarmsltd.com/wp-content/uploads/2018/06/Ginger-Wallpaper.jpg
